Name	Type	Waves	Diff Low%	Diff High%	Planet	Notes
Bite-sized Inviolability	Chicken Invasion	16	81%	97%	Lelantos	
Dependent Goddaughter	Squawk Block	12	76%	88%	Lelantos	
Buzzing Contortionist	Chicken Invasion	24	52%	76%	Lelantos	
Next Jewellery	Chicken Invasion	8	54%	62%	Alpha Lelantos	
Frayed Ostinato	Chicken Invasion	28	34%	62%	Alpha Lelantos	
Robust Clairvoyance	Comet Chase	9	1%	10%	Alpha Lelantos	
Amused Bildungsroman	Chicken Invasion	8	15%	23%	Alpha Lelantos	
Pure Explanation	Chicken Invasion	40	70%	100%	Alpha Lelantos	
Past Deflator	Chicken Invasion	20	77%	97%	Alpha Lelantos	
Imperfect Conclusion	Supernova	15	84%	99%	Clymenus	
Profitable Candidate	Boss Rush	5	8%	13%	Clymenus	
Untried Molehill	Boss Rush	10	0%	10%	Clymenus	
New Holloware	Chicken Invasion	20	0%	20%	Alpha Clymenus	
Giddy Batsman	Chicken Invasion	24	2%	26%	Beta Clymenus	
Miserly Tidewater	Chicken Invasion	5	69%	74%	Beta Clymenus	
Hateful Pachysandra	Comet Chase	6	93%	99%	Beta Clymenus	
Agile Fusillade	Chicken Invasion	18	12%	30%	Beta Clymenus	
Vivacious Hydrofoil	Supernova	7	65%	72%	Endymion	
Entire Commoditization	Supernova	15	4%	19%	Endymion	
Silent Cautiousness	Supernova	7	54%	61%	Endymion	
Silky Enthusiasm	Squawk Block	11	65%	76%	Endymion	
Forceful Meal	Chicken Invasion	10	87%	97%	Endymion	
Fatal Somnolence	Chicken Invasion	18	13%	31%	Endymion	
Subtle Kilim	Boss Rush	6	90%	96%	Endymion	
Tasty Intention	Comet Chase	12	35%	47%	Endymion	
Spotted Baluster	Chicken Invasion	10	11%	21%	Alpha Endymion	
Helpful Chamberlain	Feather Fields	11	46%	57%	Alpha Endymion	
Upright Belatedness	Boss Rush	8	45%	53%	Alpha Endymion	
Poor Employer	Feather Fields	8	88%	96%	Alpha Endymion	
Bland Cautiousness	Comet Chase	9	46%	55%	Alpha Endymion	
Recent Transmutation	Chicken Invasion	20	48%	68%	Beta Endymion	
Glum Ripcord	Chicken Invasion	14	31%	45%	Beta Endymion	
Putrid Ferritin	Chicken Invasion	10	45%	55%	Beta Endymion	
Stormy Bioweapon	Chicken Invasion	7	52%	59%	Beta Endymion	
Silky Stromatolite	Squawk Block	10	26%	36%	Beta Endymion	
Delayed Biohazard	Comet Chase	14	74%	88%	Beta Endymion	
Usable Dad	Chicken Invasion	28	70%	98%	Gamma Endymion	
Formal Prescience	Boss Rush	10	31%	41%	Gamma Endymion	
Massive Hall	Darkness	18	84%	100%	Gamma Endymion	
Extraneous Headspace	Comet Chase	14	64%	78%	Gamma Endymion	
Cruel Courage	Chicken Invasion	10	91%	100%	Gamma Endymion	
Frigid Penstemon	Chicken Invasion	7	67%	74%	Gamma Endymion	
Difficult Krater	Boss Rush	10	20%	30%	Phi Endymion	
Acidic Clawfoot	Squawk Block	9	12%	21%	Phi Endymion	
Livid Krater	Chicken Invasion	40	88%	100%	Upsilon Endymion	
Fickle Rentier	Boss Rush	10	10%	20%	Upsilon Endymion	
Dirty Wigeon	Darkness	18	23%	41%	Upsilon Endymion	
Grave Edibility	Chicken Invasion	24	95%	100%	Upsilon Endymion	
Hateful Flunkie	Feather Fields	8	75%	83%	Zeta Endymion	
Descriptive Departure	Chicken Invasion	10	97%	100%	Zeta Endymion	
Granular Biowarfare	Chicken Invasion	16	72%	88%	Zeta Endymion	
Sick Endomorph	Squawk Block	20	79%	99%	Zeta Endymion	
Obedient Marzipan	Chicken Invasion	6	27%	33%	Eta Endymion	
Zigzag Airshaft	Supernova	11	23%	34%	Amethystos	
Frequent Guilloche	Supernova	7	59%	66%	Amethystos	
Silver Inviolability	Supernova	12	44%	56%	Amethystos	
Near Ampoule	Chicken Invasion	24	49%	73%	Amethystos	
Utter Insouciance	Boss Rush	8	43%	51%	Amethystos	
Frightening Database	Feather Fields	15	67%	82%	Amethystos	
Obvious Polltaker	Feather Fields	7	31%	38%	Alpha Amethystos	
Regular Explanation	Chicken Invasion	16	86%	100%	Alpha Amethystos	
Stable Marguerite	Chicken Invasion	24	9%	33%	Beta Amethystos	
Hidden Lionfish	Chicken Invasion	14	97%	100%	Chi Amethystos	
Judicious Companionway	Boss Rush	4	63%	67%	Chi Amethystos	
Messy Speaker	Darkness	18	16%	34%	Chi Amethystos	
Robust Surfactant	Boss Rush	10	25%	35%	Chi Amethystos	
Likely Mixture	Chicken Invasion	28	95%	100%	Chi Amethystos	
Bountiful Backflip	Chicken Invasion	6	15%	21%	Chi Amethystos	
Devoted Housetop	Boss Rush	10	24%	34%	Phi Amethystos	
Amused Region	Chicken Invasion	18	95%	100%	Epsilon Amethystos	
Black Fortune	Chicken Invasion	27	41%	68%	Epsilon Amethystos	
Educated Lodestone	Squawk Block	9	91%	100%	Epsilon Amethystos	
Unwelcome Scow	Boss Rush	5	83%	88%	Epsilon Amethystos	
Sizzling Frogman	Chicken Invasion	28	21%	49%	Zeta Amethystos	
Frequent Fireback	Squawk Block	19	24%	43%	Zeta Amethystos	
Delectable Towpath	Chicken Invasion	24	74%	98%	Zeta Amethystos	
Frivolous Tipster	Chicken Invasion	32	9%	41%	Zeta Amethystos	
Mild Blowtorch	Chicken Invasion	10	25%	35%	Eta Amethystos	
Murky Moonlet	Darkness	30	6%	36%	Eta Amethystos	
Mature Pseudopod	Boss Rush	4	82%	86%	Eta Amethystos	
Great Resolution	Supernova	13	29%	42%	Dius	
Married Volute	Supernova	15	72%	87%	Dius	
Cheery Interaction	Supernova	9	51%	60%	Dius	
Gorgeous Stylization	Chicken Invasion	27	39%	66%	Dius	
Biodegradable Farrago	Chicken Invasion	6	32%	38%	Dius	
Hidden Rhetorician	Chicken Invasion	16	25%	41%	Dius	
Serious Andante	Chicken Invasion	27	48%	75%	Dius	
Limited Speedster	Chicken Invasion	20	99%	100%	Dius	
Imperfect Jackscrew	Darkness	18	14%	32%	Alpha Dius	
Everlasting Regency	Chicken Invasion	30	64%	94%	Beta Dius	
Dead Basket	Darkness	10	29%	39%	Beta Dius	
Concrete Ingrain	Chicken Invasion	32	84%	100%	Gamma Dius	
Vacant Antinomy	Chicken Invasion	32	75%	100%	Gamma Dius	
Altruistic Scrunchie	Comet Chase	5	52%	57%	Delta Dius	
Daring Sir	Boss Rush	8	74%	82%	Delta Dius	
Jaded Speech	Chicken Invasion	20	74%	94%	Delta Dius	
Embellished Bibb	Supernova	14	2%	16%	Laodamas	
Harsh Feedback	Chicken Invasion	36	54%	90%	Laodamas	
Terrible Fortune	Chicken Invasion	40	43%	83%	Laodamas	
Apprehensive Tunica	Chicken Invasion	15	61%	76%	Laodamas	
Quixotic Buyer	Comet Chase	14	4%	18%	Laodamas	
Upset Argument	Chicken Invasion	10	57%	67%	Laodamas	
Lopsided Lightheartedness	Chicken Invasion	14	57%	71%	Laodamas	
Half Pilaster	Chicken Invasion	36	1%	37%	Alpha Laodamas	
Favorite Circumscription	Squawk Block	7	23%	30%	Alpha Laodamas	
Close Deliveryman	Darkness	20	59%	79%	Alpha Laodamas	
Motionless Employment	Chicken Invasion	18	2%	20%	Alpha Laodamas	
Critical Crus	Chicken Invasion	20	92%	100%	Alpha Laodamas	
Same Contribution	Chicken Invasion	9	58%	67%	Beta Laodamas	
Everlasting Beriberi	Feather Fields	10	32%	42%	Beta Laodamas	
Jumpy Pickaxe	Chicken Invasion	21	16%	37%	Beta Laodamas	
Dimpled Significance	Chicken Invasion	7	12%	19%	Beta Laodamas	
Narrow Pseudopod	Chicken Invasion	24	78%	100%	Beta Laodamas	
Mortified Instigation	Comet Chase	12	55%	67%	Delta Laodamas	
Runny Gorgon	Chicken Invasion	24	55%	79%	Delta Laodamas	
Suspicious Publican	Chicken Invasion	8	4%	12%	Delta Laodamas	
Colorless Combativeness	Chicken Invasion	30	23%	53%	Delta Laodamas	
Remote Holloware	Chicken Invasion	12	50%	62%	Delta Laodamas	
Nervous Dinner	Chicken Invasion	9	45%	54%	Delta Laodamas	
Hidden Initiative	Comet Chase	9	88%	97%	Upsilon Laodamas	
Required Tablespoonful	Comet Chase	5	13%	18%	Tau Laodamas	
Lean Adverbial	Boss Rush	5	94%	99%	Tau Laodamas	
Orderly Membership	Chicken Invasion	20	9%	29%	Tau Laodamas	
Nutty Rehash	Chicken Invasion	16	17%	33%	Tau Laodamas	
Clean Playgoer	Chicken Invasion	10	30%	40%	Sigma Laodamas	
Brave Demoiselle	Supernova	8	87%	95%	Pandora	
Peaceful Friary	Chicken Invasion	24	36%	60%	Pandora	
Glass Beriberi	Chicken Invasion	21	20%	41%	Pandora	
Smug Innervation	Boss Rush	4	95%	99%	Pandora	
Sure-footed Transmittance	Chicken Invasion	15	17%	32%	Pandora	
Black Disinvestment	Chicken Invasion	15	96%	100%	Pandora	
Fearless Pollution	Chicken Invasion	14	36%	50%	Pandora	
Frayed Photonics	Darkness	12	43%	55%	Alpha Pandora	
Minty Microscopist	Chicken Invasion	24	94%	100%	Alpha Pandora	
False Metier	Chicken Invasion	9	33%	42%	Alpha Pandora	
Blue Flameout	Chicken Invasion	20	8%	28%	Alpha Pandora	
Minor Drawing	Comet Chase	7	72%	79%	Beta Pandora	
Basic Counteroffer	Chicken Invasion	15	77%	92%	Beta Pandora	
Treasured Databank	Feather Fields	9	78%	87%	Beta Pandora	
Showy Marchese	Boss Rush	10	38%	48%	Gamma Pandora	
Measly Chit	Comet Chase	12	82%	94%	Gamma Pandora	
Smooth Relation	Boss Rush	9	73%	82%	Gamma Pandora	
Curly Wipeout	Comet Chase	6	46%	52%	Gamma Pandora	
Mountainous Steak	Boss Rush	6	90%	96%	Gamma Pandora	
Unhappy Excitement	Squawk Block	15	8%	23%	Phi Pandora	
Physical Charity	Boss Rush	10	90%	100%	Upsilon Pandora	
Sugary Mode	Chicken Invasion	10	5%	15%	Upsilon Pandora	
Splendid Ryegrass	Chicken Invasion	12	32%	44%	Upsilon Pandora	
Frugal Celebration	Feather Fields	13	65%	78%	Upsilon Pandora	
Orange Carob	Chicken Invasion	18	59%	77%	Zeta Pandora	
Drafty Penalty	Darkness	15	66%	81%	Zeta Pandora	
Angry Permission	Feather Fields	14	43%	57%	Zeta Pandora	
Mean Innervation	Chicken Invasion	28	44%	72%	Zeta Pandora	
Cooperative Poplin	Supernova	6	1%	7%	Echemus	
Rude Astrobiologist	Boss Rush	5	63%	68%	Echemus	
Notable Ambassadorship	Chicken Invasion	14	79%	93%	Echemus	
Another Holloware	Chicken Invasion	18	31%	49%	Alpha Echemus	
Itchy Engineering	Chicken Invasion	28	23%	51%	Alpha Echemus	
Lucky Perianth	Chicken Invasion	24	77%	100%	Alpha Echemus	
Sizzling Publican	Chicken Invasion	36	71%	100%	Alpha Echemus	
Scornful Stegosaurus	Boss Rush	4	28%	32%	Alpha Echemus	
Vivid Snooper	Squawk Block	16	26%	42%	Beta Echemus	
Buttery Autoclave	Feather Fields	11	47%	58%	Gamma Echemus	
Gruesome Speech	Chicken Invasion	18	45%	63%	Gamma Echemus	
Hefty Panfish	Chicken Invasion	21	39%	60%	Gamma Echemus	
Spherical Sympathy	Boss Rush	8	72%	80%	Epsilon Echemus	
Immense Doggedness	Boss Rush	8	32%	40%	Epsilon Echemus	
Limited Metrology	Squawk Block	20	62%	82%	Epsilon Echemus	
Insignificant Assignment	Supernova	13	83%	96%	Bormus	
Limited Muskmelon	Supernova	15	77%	92%	Bormus	
Kosher Flutist	Chicken Invasion	6	45%	51%	Bormus	
Alarming Leader	Chicken Invasion	18	29%	47%	Bormus	
Ashamed Lacework	Chicken Invasion	8	22%	30%	Bormus	
Wide-eyed Portcullis	Chicken Invasion	24	31%	55%	Bormus	
Worthless Ambrosia	Comet Chase	8	43%	51%	Alpha Bormus	
Pointless Leadership	Chicken Invasion	36	97%	100%	Alpha Bormus	
Weak Cautiousness	Chicken Invasion	28	2%	30%	Alpha Bormus	
Ringed Classroom	Comet Chase	7	40%	47%	Alpha Bormus	
Slow Poet	Chicken Invasion	36	30%	66%	Alpha Bormus	
Silly Databank	Squawk Block	7	52%	59%	Alpha Bormus	
Double Blackfly	Darkness	21	98%	100%	Psi Bormus	
Aromatic Shellac	Chicken Invasion	14	42%	56%	Psi Bormus	
Knowledgeable Gorget	Squawk Block	19	65%	84%	Psi Bormus	
Lonely Reception	Chicken Invasion	27	97%	100%	Psi Bormus	
Frayed Holloware	Darkness	8	19%	27%	Gamma Bormus	
Favorite Debe	Darkness	12	19%	31%	Gamma Bormus	
Squiggly Entry	Squawk Block	18	24%	42%	Gamma Bormus	
Vacant Sharpener	Chicken Invasion	14	93%	100%	Gamma Bormus	
Stingy Obverse	Squawk Block	18	62%	80%	Gamma Bormus	
Uncomfortable Showboat	Chicken Invasion	16	60%	76%	Gamma Bormus	
Foolhardy Client	Supernova	8	18%	26%	Pannychis	
Wonderful Carryall	Supernova	11	38%	49%	Pannychis	
Frilly Externalization	Chicken Invasion	40	52%	92%	Pannychis	
Sarcastic Suggestion	Chicken Invasion	36	73%	100%	Pannychis	
Repulsive Gringa	Chicken Invasion	24	43%	67%	Pannychis	
Imaginative Rescission	Chicken Invasion	8	74%	82%	Pannychis	
Radiant Taproot	Chicken Invasion	12	71%	83%	Alpha Pannychis	
Traumatic Doomsayer	Chicken Invasion	28	88%	100%	Psi Pannychis	
Accurate Opacification	Darkness	8	68%	76%	Chi Pannychis	
Somber Drogue	Squawk Block	15	48%	63%	Chi Pannychis	
Right Highway	Chicken Invasion	15	44%	59%	Epsilon Pannychis	
Pastel Youth	Chicken Invasion	12	16%	28%	Epsilon Pannychis	
Worn Manoeuvre	Chicken Invasion	20	53%	73%	Epsilon Pannychis	
Ultimate Drake	Chicken Invasion	24	13%	37%	Tau Pannychis	
Rubbery Wheatgrass	Chicken Invasion	9	78%	87%	Tau Pannychis	
Regal Translocation	Chicken Invasion	28	87%	100%	Tau Pannychis	
Gummy Gladiolus	Chicken Invasion	21	72%	93%	Sigma Pannychis	
Winding Daub	Chicken Invasion	6	53%	59%	Sigma Pannychis	
Satisfied Centralist	Boss Rush	5	34%	39%	Theta Pannychis	
Glittering Recording	Chicken Invasion	36	26%	62%	Theta Pannychis	
Inferior Beechnut	Squawk Block	14	65%	79%	Pi Pannychis	
Triangular Encirclement	Chicken Invasion	40	73%	100%	Kappa Pannychis	
Illegal Meetinghouse	Squawk Block	5	94%	99%	Kappa Pannychis	
Flashy Chaparral	Supernova	11	15%	26%	Amphictyon	
Fair Disapprobation	Supernova	15	79%	94%	Amphictyon	
Buoyant Antonym	Supernova	11	56%	67%	Amphictyon	
Turbulent Highway	Chicken Invasion	10	62%	72%	Amphictyon	
Deficient Tunica	Comet Chase	12	85%	97%	Amphictyon	
Idealistic Airframe	Boss Rush	6	35%	41%	Amphictyon	
Ignorant Leader	Boss Rush	5	95%	100%	Amphictyon	
Admired Prioritization	Squawk Block	14	89%	100%	Alpha Amphictyon	
Repentant Canvass	Chicken Invasion	15	6%	21%	Alpha Amphictyon	
Soulful Dad	Chicken Invasion	6	72%	78%	Alpha Amphictyon	
Regal Oleander	Chicken Invasion	10	61%	71%	Alpha Amphictyon	
Fat Chambray	Squawk Block	9	75%	84%	Alpha Amphictyon	
Pertinent Relation	Squawk Block	7	18%	25%	Alpha Amphictyon	
Lean Airframe	Chicken Invasion	5	87%	92%	Beta Amphictyon	
Proper Agglutination	Chicken Invasion	16	98%	100%	Beta Amphictyon	
Outgoing Heliport	Comet Chase	7	51%	58%	Beta Amphictyon	
Powerless Chest	Key Rush	30	25%	100%	Beta Amphictyon	
Accurate Hermeneutic	Feather Fields	9	42%	51%	Chi Amphictyon	
Nutritious Kerf	Chicken Invasion	20	3%	23%	Chi Amphictyon	
Imperturbable Humaneness	Chicken Invasion	24	46%	70%	Phi Amphictyon	
Similar Mineshaft	Comet Chase	11	12%	23%	Phi Amphictyon	
Rectangular Marzipan	Feather Fields	14	97%	100%	Phi Amphictyon	
Rare Obliviousness	Feather Fields	10	9%	19%	Phi Amphictyon	
Short-term Oddment	Supernova	15	82%	97%	Anchialus	
Overcooked Godparent	Chicken Invasion	24	61%	85%	Anchialus	
Dead Client	Squawk Block	20	31%	51%	Anchialus	
Snappy Scruff	Chicken Invasion	7	99%	100%	Anchialus	
Regular Revetment	Key Rush	30	25%	100%	Anchialus	
Gleaming Disputation	Chicken Invasion	15	48%	63%	Anchialus	
Cylindrical Pinafore	Feather Fields	9	76%	85%	Anchialus	
Portly Variation	Comet Chase	11	95%	100%	Alpha Anchialus	
Cheap Tater	Boss Rush	4	62%	66%	Alpha Anchialus	
Gruesome Chapter	Feather Fields	6	67%	73%	Alpha Anchialus	
Boring Molehill	Feather Fields	9	15%	24%	Alpha Anchialus	
Hungry Proprietress	Chicken Invasion	27	24%	51%	Alpha Anchialus	
Faraway Chesterfield	Squawk Block	9	95%	100%	Alpha Anchialus	
Trim Heliotrope	Double Team	4	65%	69%	Psi Anchialus	Double Party Time
Measly Dairyman	Feather Fields	12	24%	36%	Gamma Anchialus	
Present Assignment	Feather Fields	10	36%	46%	Gamma Anchialus	
Occasional Catbird	Squawk Block	18	96%	100%	Gamma Anchialus	
Enormous Workpiece	Boss Rush	10	26%	36%	Gamma Anchialus	
Generous Gunfighter	Squawk Block	20	94%	100%	Gamma Anchialus	
Our Turbofan	Chicken Invasion	15	94%	100%	Delta Anchialus	
Pessimistic Debenture	Chicken Invasion	24	82%	100%	Delta Anchialus	
Frugal Plaice	Boss Rush	5	11%	16%	Epsilon Anchialus	
Elaborate Typicality	Chicken Invasion	10	30%	40%	Epsilon Anchialus	
Spry Speedster	Chicken Invasion	28	18%	46%	Epsilon Anchialus	
Average Comradeship	Boss Rush	5	34%	39%	Epsilon Anchialus	
Vague Impression	Chicken Invasion	24	92%	100%	Epsilon Anchialus	
Untrue Stalagmite	Supernova	12	15%	27%	Otrera	
Actual Disembarkation	Supernova	9	12%	21%	Otrera	
Early Tradition	Supernova	9	56%	65%	Otrera	
Rubbery Misquote	Squawk Block	13	93%	100%	Otrera	
Idealistic Disputant	Feather Fields	9	7%	16%	Otrera	
Inborn Stranger	Boss Rush	3	10%	13%	Otrera	
Overlooked Volute	Chicken Invasion	28	27%	55%	Alpha Otrera	
Private Surgery	Squawk Block	7	64%	71%	Psi Otrera	
Joyful Forecourt	Chicken Invasion	18	86%	100%	Psi Otrera	
Warped Circumscription	Supernova	10	70%	80%	Dike	
Carefree Preapproval	Supernova	9	93%	100%	Dike	
Novel Loss	Supernova	15	61%	76%	Dike	
Jubilant Selectman	Chicken Invasion	9	62%	71%	Dike	
Shameful Attractant	Chicken Invasion	7	39%	46%	Alpha Dike	
Difficult Chit	Chicken Invasion	20	37%	57%	Beta Dike	
Fake Merino	Chicken Invasion	30	6%	36%	Beta Dike	
United Loden	Boss Rush	8	1%	9%	Beta Dike	
Thorny Agentry	Chicken Invasion	10	29%	39%	Beta Dike	
Misguided Stylization	Supernova	9	9%	18%	Cassandra	
Massive Adventurousness	Supernova	13	88%	100%	Cassandra	
Wooden Farrago	Comet Chase	7	74%	81%	Cassandra	
Infantile Debenture	Chicken Invasion	16	67%	83%	Alpha Cassandra	
Sick Deliveryman	Darkness	6	52%	58%	Alpha Cassandra	
Immaculate Corkboard	Chicken Invasion	8	96%	100%	Alpha Cassandra	
Humble Tickertape	Chicken Invasion	32	29%	61%	Alpha Cassandra	
Livid Ratio	Feather Fields	13	76%	89%	Alpha Cassandra	
Unused Medkit	Darkness	6	87%	93%	Beta Cassandra	
Rusty Apatosaurus	Chicken Invasion	32	25%	57%	Beta Cassandra	
Mortified Fermion	Chicken Invasion	18	9%	27%	Beta Cassandra	
Internal Session	Boss Rush	3	0%	3%	Beta Cassandra	
Tender Mandoline	Supernova	8	98%	100%	Xanthius	
Colorless Leadership	Supernova	8	83%	91%	Xanthius	
Constant Companionway	Squawk Block	7	22%	29%	Xanthius	
Dangerous Reclassification	Squawk Block	10	4%	14%	Alpha Xanthius	
Fast Inspection	Chicken Invasion	36	72%	100%	Alpha Xanthius	
First Singleton	Chicken Invasion	7	64%	71%	Alpha Xanthius	
Hungry Titmouse	Boss Rush	7	40%	47%	Alpha Xanthius	
Brief Bagasse	Boss Rush	9	34%	43%	Alpha Xanthius	
Silky Reoccupation	Chicken Invasion	20	83%	100%	Alpha Xanthius	
Starchy Mud	Supernova	10	87%	97%	Leucophrye	
Scholarly Cava	Supernova	10	9%	19%	Leucophrye	
Insistent Benefactress	Chicken Invasion	7	17%	24%	Leucophrye	
Wealthy Cabinet	Chicken Invasion	6	4%	10%	Leucophrye	
Velvety Reimposition	Chicken Invasion	18	37%	55%	Alpha Leucophrye	
Actual Tunica	Darkness	16	90%	100%	Alpha Leucophrye	
Traumatic Ryegrass	Chicken Invasion	14	74%	88%	Psi Leucophrye	
Steep Affair	Darkness	12	2%	14%	Psi Leucophrye	
Soulful Tidewater	Double Team	3	90%	93%	Psi Leucophrye	Infini-Chick + Crab V2
Leafy Tribune	Chicken Invasion	10	11%	21%	Gamma Leucophrye	
Skeletal Nonconformity	Chicken Invasion	30	93%	100%	Gamma Leucophrye	
Worldly Plaice	Boss Rush	6	34%	40%	Gamma Leucophrye	
Wealthy Pointlessness	Squawk Block	8	19%	27%	Gamma Leucophrye	
Affectionate Sluggishness	Chicken Invasion	15	59%	74%	Gamma Leucophrye	
Enraged Knapweed	Squawk Block	11	71%	82%	Delta Leucophrye	
Required Downshift	Comet Chase	15	12%	27%	Delta Leucophrye	
Warm Sharpener	Chicken Invasion	20	45%	65%	Epsilon Leucophrye	
True Fantasia	Chicken Invasion	18	55%	73%	Epsilon Leucophrye	
Upbeat Estancia	Chicken Invasion	14	6%	20%	Epsilon Leucophrye	
Twin Pyrite	Chicken Invasion	21	15%	36%	Epsilon Leucophrye	
Impish Comparison	Double Team	8	66%	74%	Tau Leucophrye	Special Forces + Party Time (Brothers Reunited)
Untidy Decolletage	Comet Chase	10	9%	19%	Tau Leucophrye	
Close Hydrofoil	Boss Rush	6	31%	37%	Sigma Leucophrye	
Cheery Wigeon	Boss Rush	7	84%	91%	Sigma Leucophrye	
Long Childlessness	Feather Fields	11	70%	81%	Theta Leucophrye	
Well-groomed Gorget	Comet Chase	9	27%	36%	Theta Leucophrye	
Pleasant Cozy	Supernova	8	71%	79%	Lapithes	
Vivid Soundscape	Supernova	5	6%	11%	Lapithes	
Weepy Giantess	Chicken Invasion	10	8%	18%	Lapithes	
Worried Decile	Chicken Invasion	24	87%	100%	Lapithes	
Productive Recalibration	Chicken Invasion	36	90%	100%	Lapithes	
Quintessential Cartload	Chicken Invasion	8	97%	100%	Lapithes	
Plastic Fibrin	Chicken Invasion	10	61%	71%	Alpha Lapithes	
Fresh Speedster	Feather Fields	7	97%	100%	Alpha Lapithes	
Mediocre Sonority	Chicken Invasion	24	12%	36%	Alpha Lapithes	
Reasonable Sparker	Chicken Invasion	9	45%	54%	Alpha Lapithes	
Horrible Substitutability	Chicken Invasion	10	89%	99%	Alpha Lapithes	
Portly Conserver	Feather Fields	13	16%	29%	Delta Lapithes	
Near Upright	Squawk Block	18	16%	34%	Delta Lapithes	
Inferior Brusqueness	Supernova	9	29%	38%	Eudaimonia	
Instructive Membership	Supernova	10	67%	77%	Eudaimonia	
Innocent Territoriality	Supernova	14	99%	100%	Eudaimonia	
Infantile Birdcall	Chicken Invasion	15	61%	76%	Eudaimonia	
Limited Lodestar	Squawk Block	12	99%	100%	Eudaimonia	
Jovial Molehill	Chicken Invasion	9	93%	100%	Eudaimonia	
Different Loquat	Squawk Block	18	29%	47%	Eudaimonia	
Shocked Shirt	Chicken Invasion	20	76%	96%	Eudaimonia	
Humongous Subspace	Squawk Block	13	13%	26%	Alpha Eudaimonia	
Loud Cockerel	Boss Rush	7	11%	18%	Alpha Eudaimonia	
Long-term Precipitator	Chicken Invasion	5	10%	15%	Alpha Eudaimonia	
Criminal Tondo	Boss Rush	6	96%	100%	Alpha Eudaimonia	
Pointed Shipowner	Chicken Invasion	14	13%	27%	Alpha Eudaimonia	
Spry Tunesmith	Squawk Block	10	2%	12%	Alpha Eudaimonia	
Faraway Blackfly	Chicken Invasion	10	84%	94%	Beta Eudaimonia	
Quick Obsessiveness	Chicken Invasion	16	49%	65%	Beta Eudaimonia	
Concrete Tidewater	Chicken Invasion	6	70%	76%	Beta Eudaimonia	
Bold Aerialist	Chicken Invasion	12	72%	84%	Beta Eudaimonia	
Bruised Emotion	Squawk Block	6	58%	64%	Beta Eudaimonia	
Identical Towpath	Feather Fields	14	40%	54%	Chi Eudaimonia	
Calculating Cockerel	Chicken Invasion	18	60%	78%	Chi Eudaimonia	
Vague Diplomate	Chicken Invasion	15	74%	89%	Chi Eudaimonia	
Shocking Weakness	Darkness	10	59%	69%	Chi Eudaimonia	
Careful Furrier	Chicken Invasion	24	53%	77%	Chi Eudaimonia	
Light Retinol	Boss Rush	6	39%	45%	Chi Eudaimonia	
Colossal Penstemon	Supernova	13	82%	95%	Presbon	
Twin Fluoxetine	Supernova	11	13%	24%	Presbon	
Frequent Scruff	Chicken Invasion	5	9%	14%	Presbon	
Celebrated Microscopist	Boss Rush	4	22%	26%	Presbon	
Icky Transportation	Chicken Invasion	24	58%	82%	Alpha Presbon	
Dazzling Cozy	Chicken Invasion	36	25%	61%	Alpha Presbon	
Disloyal Requirement	Chicken Invasion	28	17%	45%	Alpha Presbon	
Writhing Bookbinder	Feather Fields	11	58%	69%	Alpha Presbon	
Sad Gamesmanship	Chicken Invasion	20	27%	47%	Alpha Presbon	
Infatuated Picketer	Feather Fields	7	97%	100%	Beta Presbon	
Belated Shuttlecock	Squawk Block	10	94%	100%	Beta Presbon	
Fake Quatrain	Feather Fields	6	75%	81%	Beta Presbon	
